SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
236,0.981296,0.003022,0.960359,0.004760,0.964077,0.004503,0.951147,0.006587
237,0.977265,0.003059,0.960280,0.004762,0.965763,0.004305,0.952941,0.006523
238,0.979556,0.003055,0.960279,0.004762,0.963477,0.004377,0.953686,0.006484
239,0.978932,0.002945,0.960332,0.004762,0.961252,0.004389,0.951730,0.006488
240,0.980995,0.002992,0.960373,0.004761,0.961260,0.004333,0.959905,0.006347
241,0.979371,0.002987,0.960237,0.004763,0.960778,0.004450,0.952891,0.006493
242,0.978638,0.003100,0.960335,0.004761,0.963867,0.004350,0.955055,0.006514
243,0.981014,0.002989,0.960363,0.004761,0.961062,0.004477,0.955830,0.006373
244,0.979573,0.003002,0.960309,0.004761,0.967434,0.004292,0.956627,0.006384
245,0.979389,0.003037,0.960352,0.004761,0.962813,0.004402,0.952760,0.006523
246,0.980521,0.002922,0.960312,0.004761,0.965210,0.004332,0.956057,0.006503
247,0.983871,0.003015,0.960283,0.004762,0.960964,0.004387,0.954690,0.006558
248,0.978872,0.002989,0.960325,0.004762,0.957810,0.004432,0.953881,0.006412
249,0.980890,0.003011,0.960405,0.004759,0.966853,0.004153,0.958238,0.006477
250,0.977980,0.003160,0.960287,0.004762,0.964477,0.004393,0.947674,0.006679
