SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
229,0.981000,0.003030,0.967417,0.005067,0.964877,0.004678,0.953922,0.006770
230,0.980000,0.003130,0.967417,0.005066,0.967709,0.004524,0.954959,0.006784
231,0.984000,0.003080,0.967394,0.005067,0.971490,0.004460,0.960102,0.006453
232,0.986240,0.003045,0.967350,0.005067,0.971355,0.004252,0.968800,0.006560
233,0.981872,0.003187,0.967533,0.005064,0.970161,0.004571,0.963877,0.006392
234,0.978675,0.003156,0.967380,0.005069,0.973530,0.004524,0.972909,0.006584
235,0.982000,0.003080,0.967329,0.005072,0.972810,0.004366,0.960984,0.006635
236,0.982000,0.003100,0.967438,0.005067,0.972790,0.004462,0.952771,0.006654
237,0.976929,0.003245,0.967366,0.005068,0.973905,0.004384,0.963027,0.006634
238,0.982000,0.003090,0.967375,0.005068,0.972423,0.004507,0.964614,0.006492
239,0.984000,0.002990,0.967406,0.005067,0.977296,0.004532,0.958305,0.006587
240,0.986000,0.002980,0.967411,0.005066,0.973218,0.004464,0.963634,0.006375
241,0.985000,0.003050,0.967333,0.005069,0.966039,0.004653,0.963050,0.006538
242,0.981000,0.003220,0.967366,0.005068,0.973288,0.004458,0.962255,0.006478
243,0.982000,0.003070,0.967422,0.005067,0.969497,0.004664,0.969826,0.006327
244,0.981000,0.003140,0.967352,0.005069,0.970036,0.004388,0.959635,0.006503
245,0.981000,0.003160,0.967418,0.005068,0.970881,0.004450,0.965401,0.006472
246,0.985000,0.002970,0.967350,0.005069,0.969490,0.004291,0.966672,0.006608
247,0.984000,0.003010,0.967318,0.005069,0.972232,0.004563,0.954117,0.006761
248,0.981000,0.003160,0.967357,0.005068,0.969300,0.004562,0.968697,0.006480
249,0.982000,0.003070,0.967412,0.005065,0.973812,0.004347,0.963512,0.006504
250,0.980000,0.003240,0.967313,0.005068,0.967512,0.004579,0.957220,0.006675
