SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
236,0.852058,0.008459,0.811815,0.009385,0.817444,0.009155,0.763852,0.013681
237,0.850767,0.008434,0.811728,0.009385,0.832991,0.008949,0.760044,0.013966
238,0.852826,0.008414,0.811753,0.009385,0.824471,0.009036,0.765236,0.013748
239,0.859107,0.008311,0.811820,0.009385,0.829572,0.008910,0.774684,0.013616
240,0.853991,0.008518,0.811798,0.009385,0.828111,0.008872,0.772618,0.013549
241,0.855370,0.008431,0.811744,0.009385,0.824880,0.008975,0.766538,0.013749
242,0.852432,0.008470,0.811782,0.009385,0.827487,0.008930,0.768394,0.013765
243,0.854707,0.008401,0.811791,0.009385,0.820500,0.009258,0.769793,0.013530
244,0.853711,0.008425,0.811769,0.009385,0.827472,0.008902,0.772203,0.013671
245,0.854605,0.008454,0.811788,0.009385,0.829199,0.009053,0.759196,0.013890
246,0.860714,0.008368,0.811786,0.009385,0.827987,0.008948,0.765269,0.013748
247,0.854340,0.008455,0.811766,0.009384,0.827304,0.008970,0.756903,0.013947
248,0.858572,0.008318,0.811772,0.009385,0.819017,0.009159,0.761081,0.013882
249,0.852624,0.008435,0.811865,0.009385,0.837958,0.008721,0.773174,0.013739
250,0.853250,0.008465,0.811774,0.009385,0.823064,0.009112,0.754130,0.013937
